recipe_urls,recipe_name,ingredients,cuisine
https://www.allrecipes.com/recipe/264294/mango-shrikhand/,Mango Shrikhand Recipe - Allrecipes.com,"[""1/4 teaspoon ground cardamom"",""2 1/2 (8 ounce) containers plain yogurt"",""2 tablespoons crushed almonds"",""3/4 cup mango puree"",""5 tablespoons confectioners' sugar, or more to taste""]",Indian
https://www.allrecipes.com/recipe/107421/bangalore-cornish-hens/,Bangalore Cornish Hens Recipe - Allrecipes.com,"[""1 (28 ounce) can canned tomatoes, drained and chopped"",""1 tablespoon ground cinnamon"",""1 tablespoon ground ginger"",""1 teaspoon black pepper"",""1 teaspoon cayenne pepper"",""1/2 cup chicken broth"",""1/2 cup honey"",""1/2 cup lemon juice"",""1/3 cup chopped cilantro"",""1/3 cup chopped fresh mint"",""1/3 cup chopped fresh parsley"",""1/4 cup mild paprika"",""2 (1 1/2 pound) Cornish game hens, halved lengthwise"",""2 large zucchinis, halved lengthwise and cut into 1 1/2 inch pieces"",""2 medium onions, cut into 1-inch wedges"",""2 medium red bell pepper, cut into 1-1/2 inch pieces"",""2 tablespoons salt"",""2 teaspoons caraway seed"",""3 medium crookneck yellow squash, cut into 1 1/2-inch pieces"",""3 medium turnips, peeled, halved, and cut into 1-inch thick slices"",""3 tablespoons olive oil"",""4 teaspoons ground cumin"",""6 cloves garlic, minced""]",American
https://www.allrecipes.com/recipe/258093/madras-crab-curry/,Madras Crab Curry Recipe - Allrecipes.com,"[""1 cinnamon stick"",""1 pod tamarind, soaked in warm water, juice extracted"",""1 tablespoon garam masala"",""1 teaspoon minced fresh ginger root"",""1 whole star anise pod, crushed"",""1/2 teaspoon ground turmeric"",""1/4 cup coconut milk"",""1/4 teaspoon fennel seeds"",""2 cloves garlic, minced"",""2 cups water, divided"",""2 large red onions, minced"",""2 tablespoons tomato paste"",""2 tablespoons vegetable oil"",""2 teaspoons ground red chile pepper"",""3 dried chile peppers"",""3 ripe plum tomatoes, pureed"",""3 whole black peppercorns"",""3 whole cloves"",""3/4 cup grated fresh coconut"",""3/4 teaspoon urad dal"",""6 crabs, cleaned"",""salt to taste""]",Indian
https://www.allrecipes.com/recipe/8954/spicy-chicken-curry/,Spicy Chicken Curry Recipe - Allrecipes.com,"[""1 pinch ground turmeric"",""1 pound skinless, boneless chicken breast halves, cut into bite size pieces"",""1 tablespoon garam masala"",""1 tablespoon poppy seeds"",""2 cups water"",""2 onions, chopped"",""2 tablespoons chili powder"",""2 tablespoons ginger garlic paste"",""4 green chile peppers, chopped"",""4 tablespoons vegetable oil"",""salt to taste""]",Indian
https://www.allrecipes.com/recipe/221837/mushroom-moong-dal-dosas/,Mushroom Moong Dal Dosas Recipe - Allrecipes.com,"[""1 (10 ounce) package frozen chopped spinach, thawed and drained"",""1 cup cottage cheese"",""1 cup frozen peas"",""1 cup moong dal (split husked mung beans)"",""1 cup salsa"",""1 onion, chopped"",""1 tablespoon ground coriander"",""1 teaspoon chili powder"",""1 teaspoon cumin seeds"",""1 teaspoon fennel seeds"",""1 teaspoon ground cinnamon"",""1 teaspoon minced ginger"",""1 teaspoon sea salt"",""1 teaspoon seasoned salt"",""1 yellow bell pepper, chopped"",""1/2 cup chopped fresh cilantro"",""1/2 cup water, or as needed"",""1/2 teaspoon jeera (cumin seeds)"",""1/2 teaspoon salt"",""2 cups sliced cremini mushrooms"",""2 tablespoons garam masala"",""2 tablespoons lemon juice"",""2 tablespoons minced garlic"",""2 teaspoons chili powder"",""2 teaspoons minced ginger"",""3 stalks celery, finely chopped"",""Dosas:"",""Filling:""]",Indian
https://www.allrecipes.com/recipe/266013/slow-cooker-eggplant-curry/,Slow Cooker Eggplant Curry Recipe - Allrecipes.com,"[""1 (28 ounce) can diced tomatoes"",""1 large onion, diced"",""1 tablespoon curry powder"",""1 teaspoon cayenne pepper"",""1 teaspoon garam masala"",""1/2 teaspoon ground black pepper"",""1/2 teaspoon salt"",""2 large eggplants, peeled and chopped"",""4 cloves garlic, chopped"",""6 whole wheat tortillas"",""cooking spray""]",Indian
https://www.allrecipes.com/recipe/245941/goan-fish-curry/,Goan Fish Curry Recipe - Allrecipes.com,"[""1 1/2 tablespoons coriander seeds"",""1/2 cup grated coconut"",""1/2 pound white fish, cut into thin slices (such as pomfret)"",""1/2 teaspoon ground turmeric"",""2 pieces kokum (fruit from the mangosteen family)"",""4 cloves garlic, peeled"",""4 whole peppercorns"",""5 red Kashmiri chiles"",""salt to taste""]",Indian
https://www.allrecipes.com/recipe/268235/instant-pot-shrimp-curry/,Instant Pot® Shrimp Curry Recipe - Allrecipes.com,"[""1 1/2 tablespoons coriander powder"",""1 medium tomato, chopped"",""1 small onion, sliced"",""1 sprig fresh curry leaves"",""1 tablespoon black mustard seeds"",""1 teaspoon ginger-garlic paste"",""1 teaspoon salt"",""1/4 teaspoon cumin powder"",""1/4 teaspoon fenugreek powder"",""1/4 teaspoon turmeric powder"",""12 ounces raw medium-large shrimp, peeled and deveined"",""2 1/4 cups water, divided"",""2 tablespoons Kashmiri red chili powder"",""2 tablespoons coconut cream"",""2 tablespoons coconut oil"",""2 tablespoons tamarind pulp"",""2 tablespoons water""]",Indian
https://www.allrecipes.com/recipe/267997/one-pot-vegan-potato-lentil-curry/,One-Pot Vegan Potato-Lentil Curry Recipe - Allrecipes.com,"[""1 (1 1/2 inch) piece chopped fresh ginger, or to taste"",""1 (14 ounce) can coconut milk"",""1 (28 ounce) can whole peeled tomatoes, chopped or pureed, juices reserved"",""1 1/2 teaspoons curry paste, or more to taste"",""1 cup red lentils"",""1 tablespoon canola oil, or more as needed"",""1 teaspoon lemon juice, or more to taste"",""1 teaspoon raw sugar, or more to taste"",""1/2 teaspoon vegetable bouillon, or more to taste"",""2 cloves garlic, minced"",""2 red onions, chopped"",""3/4 teaspoon ground cumin"",""4 potatoes, peeled and cubed"",""salt and freshly ground black pepper to taste""]",Indian
https://www.allrecipes.com/recipe/241809/delicious-and-fast-chicken-curry/,Delicious and Fast Chicken Curry Recipe - Allrecipes.com,"[""1 potato, chopped"",""1/2 onion, chopped"",""2 cloves garlic, chopped"",""2 tablespoons curry powder"",""2 teaspoons onion powder"",""2 teaspoons seasoned salt"",""20 ounces fresh spinach, torn"",""3 large skinless, boneless chicken breast, cut into cubes"",""5 cups coconut milk"",""olive oil, or to taste""]",Indian
