recipe_urls,recipe_name,ingredients,cuisine
https://www.jamieoliver.com/recipes/pork-recipes/sausage-kale-ricotta-bake/,"Sausage, kale & ricotta bake","['1 onion', '2 cloves of garlic', '1 fresh green chilli', 'olive oil', '1 lemon', '4 higher-welfare sausages', '400 g conchiglie pasta', '200 g kale', '3 sprigs of fresh oregano', '200 g ricotta cheese', '30 g pecorino cheese']",Italian
https://www.jamieoliver.com/recipes/pork-recipes/kale-sausage-stew/,Kale & Sausage Stew,"['olive oil', '1 onion', '2 cloves of garlic', '1 lemon', '1 teaspoon fennel seeds', '½ teaspoon crushed chillies', '1 fresh bay leaf', '6 sausages', '1½ tablespoons plain flour', '1 x 400 g tin chopped tomatoes', '500 ml organic vegetable stock', '1 large handful of kale']",American
https://www.jamieoliver.com/recipes/lamb-recipes/parsi-salli-boti/,Parsi salli boti,"['5cm piece of ginger', '6 cloves of garlic', '100 g ripe tomatoes', '1 tablespoon tomato purée', '2 small onions', '3 tablespoons vegetable oil', '5 green cardamom pods', '6 cloves', '2 teaspoon kashmiri chilli powder or mild paprika', '1 teaspoon turmeric powder', '850 g lamb leg on the bone , cut into 3cm pieces (ask your butcher to do this)', '1 small green chilli', '4 dried apricots', '2 tablespoons jaggery or caster sugar', '1 tablespoon malt vinegar', '½ teaspoon cumin seeds', '½ teaspoon garam masala powder', '1 lime', 'RED ONION SALAD', '1 medium red onion', '½ a lime']",Indian
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tandoor-style-kebabs/,Chicken tandoor-style kebabs,"['3cm piece of ginger', '2 cloves of garlic', '140 g natural yoghurt', '2 tablespoons olive oil', '60 ml tomato passata', '½ tesapoon garam masala', '½ teaspoon chilli powder', '½ teaspoon smoked paprika', '½ teaspoon turmeric', '10-12 skinless, boneless free-range chicken thighs']",Indian
https://www.jamieoliver.com/recipes/game-recipes/venison-dopiaza/,Venison dopiaza,"['2 tablespoons cumin seeds', '1 tablespoon coriander seeds', '2 teaspoons black peppercorns', '1 tablespoon cardamom pods', '4 cloves of garlic', '5cm piece of ginger', '1 kg venison neck fillet', '4 heaped tablespoons natural yoghurt, plus extra to serve', '9 onions', '4 fresh chillies', 'ghee or butter', '3 ripe tomatoes', '1 bunch of fresh coriander']",Indian
https://www.jamieoliver.com/recipes/duck-recipes/crispy-duck-with-fire-roasted-plum-sauce/,Crispy duck with fire-roasted plum sauce,"['4 x 220 g duck legs', 'MARINADE', '2 star anise', '1 stick of cinnamon', '2 tablespoons runny honey', '4 tablespoons runny honey', '4 tablespoons low-salt soy sauce', '1 tablespoon sesame oil', 'FIRE-ROASTED PLUM SAUCE', '6 ripe, juicy plums', '3 tablespoons brown sugar , plus extra to taste', '1 star anise', 'BLACK QUINOA & MACADAMIA SALAD', '150 g black quinoa (or white or red)', '100 g macadamia nuts', '½ a bunch of fresh Thai basil', '½ a bunch of fresh coriander', '4 spring onions', '1 tablespoon rice wine vinegar', '1 tablespoon runny honey', '2 tablespoons low-salt soy sauce', '1 tablespoon sesame oil']",Chinese
https://www.jamieoliver.com/recipes/duck-recipes/spicy-salt-duck/,Spicy salt duck,"['2 x 200 g duck breasts, skin on, trimmed of excess fat', '2 tablespoons plain flour', '1 teaspoon chilli powder', '½ teaspoon ground cumin', '½ teaspoon ground fennel seeds', '½ teaspoon sichuan seasoning, plus extra to serve (see tip)', '½ teaspoon ground ginger', '1 large red chilli', '2-3 spring onions', '2 lemons', '700 ml vegetable oil , for deep-frying']",Chinese
https://www.jamieoliver.com/recipes/pasta-recipes/casarecce-with-broccoli-anchovies/,Casarecce with broccoli & anchovies,"['450 g broccoli', '1 clove of garlic', '1 fresh red chilli', '40 g breadcrumbs', '3 salted anchovies (or 6 anchovies in oil)', '1 tablespoon garlic oil', '4 tablespoons olive oil', '50 g pine nuts', '30 g sultanas', '400 g dried casarecce or penne', '60 each of fresh and aged caciocavallo (or pecorino) cheese']",Italian
https://www.jamieoliver.com/recipes/beef-recipes/involtini-di-manzo/,Involtini di manzo,"['8 x 70 g pieces of thinly sliced topside of beef', '50 g pine nuts', '4 cloves of garlic', 'a few sprigs of fresh thyme', 'a few sprigs of fresh rosemary', 'a few sprigs of fresh parsley', '70 g fresh breadcrumbs', '4 tablespoons raisins', 'olive oil', '3 shallots', '100 ml white wine', '1 x 400 g tin of chopped tomatoes']",Italian
https://www.jamieoliver.com/recipes/rice-recipes/pea-mint-amp-basil-arancini-cakes/,"Pea, mint & basil arancini cakes","['5 spring onions', '1 small clove of garlic', 'olive oil', '160 g arborio risotto rice', '80 ml white wine', '500 ml hot organic vegetable stock', '40 g fresh or frozen peas', '20 g butter', '1 lemon', '20 g Parmesan cheese', '2 sprigs of fresh mint', '½ a bunch of fresh basil', '2 large free-range eggs', '200 g fresh breadcrumbs', 'vegetable oil']",Italian
