recipe_urls,recipe_name,ingredients,cuisine
https://www.allrecipes.com/recipe/260184/mild-curry-turkey/,Mild Curry Turkey Recipe - Allrecipes.com,"[""1 (14 pound) fresh turkey"",""1 large sweet potato, peeled and quartered"",""1 lemon, cut into 4 wedges"",""1 long, thin red chilli, seeded if desired, finely chopped"",""1/2 lime, juiced"",""2 cloves garlic, minced"",""2 cloves garlic, peeled"",""2 small red onions, peeled and quartered"",""2 tablespoons all-purpose flour"",""2 tablespoons chopped fresh cilantro"",""3 carrots, peeled and cut into 2-inch chunks"",""3 sprigs fresh rosemary"",""3 tablespoons Patak's Mild Curry Paste"",""4 tablespoons butter, room temperature"",""Freshly ground black pepper, to taste"",""Olive oil, for rubbing"",""Sea salt, to taste""]",Indian
https://www.allrecipes.com/recipe/246711/bhindi-subzi-okra-stir-fry/,Bhindi Subzi (Okra Stir-Fry) Recipe - Allrecipes.com,"[""1 1/2 teaspoons diced ginger"",""1 large red onion, thinly sliced"",""1 pound okra, cut into 1/4-inch pieces"",""1 teaspoon cumin seeds"",""1 teaspoon garam masala"",""1 teaspoon ground turmeric"",""1/2 teaspoon amchoor (dried mango powder)"",""2 tablespoons chopped cilantro, or to taste"",""2 tablespoons mustard oil"",""2 tomatoes, diced"",""5 cloves garlic, minced, or more to taste"",""salt to taste""]",Indian
https://www.allrecipes.com/recipe/256454/indian-influenced-zucchini-onion-pepper-latkes/,Indian-Influenced Zucchini Onion Pepper Latkes Recipe - Allrecipes.com,"[""1 1/3 cups finely chopped onions"",""1 jalapeno pepper, minced"",""1/2 cup chickpea flour"",""1/2 cup chopped fresh cilantro"",""1/2 cup crumbled feta cheese"",""1/2 teaspoon ground coriander"",""1/2 teaspoon ground cumin"",""1/3 cup chopped green bell pepper"",""1/3 cup chopped red bell pepper"",""1/4 cup rice flour"",""2 1/2 cups grated zucchini"",""3 eggs, lightly beaten"",""3 tablespoons canola oil, or as needed"",""salt to taste""]",Indian
https://www.allrecipes.com/recipe/81562/chicken-biryani-hyderabadi-style/,"Chicken Biryani, Hyderabadi Style Recipe - Allrecipes.com","[""1 (3 pound) whole chicken, cut into pieces"",""1 1/2 cups plain yogurt"",""1 medium onion, chopped"",""1 sprig cilantro leaves with stems"",""1 teaspoon salt"",""1/4 cup ghee (clarified butter)"",""2 tablespoons ginger garlic paste"",""20 whole cloves"",""3 cups uncooked jasmine or white rice"",""4 1/8 cups water"",""5 bay leaves"",""5 small green chile peppers"",""6 fresh curry leaves (optional)"",""9 whole cardamom pods""]",Indian
https://www.allrecipes.com/recipe/210510/beetroot-aloo-koora/,Beetroot Aloo Koora Recipe - Allrecipes.com,"[""1 pinch asafoetida powder"",""1/2 teaspoon cumin seed"",""1/2 teaspoon ground red pepper"",""1/2 teaspoon mustard seed"",""1/2 teaspoon skinned split black lentils (urad dal)"",""1/4 cup flaked coconut"",""2 dried red chile peppers, broken into pieces"",""2 tablespoons vegetable oil"",""3 potatoes, peeled and cut into small cubes"",""4 large red beets - trimmed, peeled, and cut into cubes"",""6 fresh curry leaves""]",Indian
https://www.allrecipes.com/recipe/213208/quinoa-biryani/,Quinoa Biryani Recipe - Allrecipes.com,"[""1 cup broccoli florets"",""1 cup cauliflower florets"",""1 cup chopped carrots"",""1 cup fresh green beans, cut into 1-inch pieces"",""1 cup peeled, diced potato"",""1 cup quinoa, rinsed and drained"",""1 onion, sliced into rings"",""1 pod cardamom"",""1 tablespoon butter"",""1 tablespoon vegetable oil"",""1 teaspoon ground turmeric"",""1 teaspoon minced fresh ginger root"",""1/2 cup fresh or frozen peas"",""1/4 cup chopped fresh cilantro"",""2 cinnamon sticks"",""2 cloves garlic, minced"",""2 tablespoons cashew pieces"",""3 cups water"",""3 whole cloves""]",Indian
https://www.allrecipes.com/recipe/164298/maharani-cupcakes/,Maharani Cupcakes Recipe - Allrecipes.com,"[""1 (18.25 ounce) package white cake mix"",""1 1/2 cups heavy whipping cream"",""1 1/4 cups water"",""1 bunch fresh basil, washed and dried"",""1 cup sweetened flaked coconut"",""1 cup white sugar"",""1 tablespoon silver dragees decorating candy"",""1/2 (8 ounce) package cream cheese, room temperature"",""1/3 cup vegetable oil"",""1/4 cup unsalted butter, melted"",""2 eggs, lightly beaten"",""2 tablespoons coconut extract"",""2 tablespoons mild curry powder"",""3 eggs"",""3 lemons, zested"",""3/4 cup fresh lemon juice"",""6 cups confectioners' sugar, divided"",""Coconut Cupcakes:"",""Sweet Basil Cream:"",""Sweet Curry Lemon Curd:""]",American
https://www.allrecipes.com/recipe/16102/chicken-biryani/,Chicken Biryani Recipe - Allrecipes.com,"[""1 (1 inch) piece cinnamon stick"",""1 (2 inch) piece cinnamon stick"",""1 1/2 teaspoons salt"",""1 large onion, diced"",""1 pinch powdered saffron"",""1 pound basmati rice"",""1 tablespoon minced fresh ginger root"",""1 teaspoon ground cumin"",""1 teaspoon salt"",""1/2 teaspoon chili powder"",""1/2 teaspoon ground black pepper"",""1/2 teaspoon ground cardamom"",""1/2 teaspoon ground ginger"",""1/2 teaspoon ground turmeric"",""2 1/2 tablespoons vegetable oil"",""2 cloves garlic, minced"",""2 large onions, finely chopped"",""2 medium tomatoes, peeled and chopped"",""2 tablespoons chopped fresh mint leaves"",""2 tablespoons plain yogurt"",""3 pounds boneless, skinless chicken pieces cut into chunks"",""3 whole cloves"",""4 cups chicken stock"",""4 small potatoes, peeled and halved"",""4 tablespoons vegetable oil"",""5 pods cardamom""]",Indian
https://www.allrecipes.com/recipe/269269/chickpea-and-cauliflower-stew/,Chickpea and Cauliflower Stew Recipe - Allrecipes.com,"[""1 (14 ounce) can chickpeas, drained and rinsed"",""1 (14.5 ounce) can diced tomatoes, drained"",""1 (14.5 ounce) can low-sodium vegetable broth"",""1 jalapeno pepper, minced"",""1 tablespoon vegetable oil, or to taste"",""1 teaspoon curry powder"",""1 teaspoon ground coriander"",""1 teaspoon ground turmeric"",""1 teaspoon minced ginger root"",""1/2 onion, chopped"",""1/2 teaspoon garam masala"",""2 cups cauliflower florets""]",Indian
https://www.allrecipes.com/recipe/214993/garam-masala/,Garam Masala Recipe - Allrecipes.com,"[""1 teaspoon ground mace"",""1 teaspoon nutmeg"",""1 teaspoon whole black peppercorns"",""1 teaspoon whole cloves"",""1/3 cup cumin seeds"",""14 green cardamom pods "",""3 (4 inch) cinnamon sticks, broken into pieces"",""3 tablespoons coriander seeds"",""5 bay leaves"",""5 whole star anise pods""]",Indian
