recipe_urls,recipe_name,ingredients,cuisine
https://www.jamieoliver.com/recipes/fish-recipes/roast-salmon-salad/,Roast salmon salad,"['450 g new potatoes', '150 g green beans', '4 x 200 g salmon fillets , skin off, pin-boned, from sustainable sources, ask your fishmonger', 'olive oil', '2 lemons', '1 clove of garlic', '250 g fat-free natural yoghurt', '1 pinch of cayenne pepper', '1 bunch of watercress', '1 sprig of fresh mint', '1 sprig of fresh basil']",American
https://www.jamieoliver.com/recipes/lamb-recipes/roast-rack-of-lamb-with-crushed-potatoes/,Roast rack of lamb with crushed potatoes,"['10 Anya potatoes', '1 handful of cherry tomatoes', '1 handful of Kalamata olives', 'olive oil', '1 quality 6-bone rack of lamb', 'a few sprigs of rosemary', '6 cloves of garlic']",French
https://www.jamieoliver.com/recipes/lamb-recipes/roast-leg-of-lamb-with-aubergines-and-onions/,Roast leg of lamb,"['2 kg quality leg of lamb', 'olive oil', '3 round purple aubergines (or 4 normal ones)', '2 red onions', '1 tablespoon dried oregano', '1 bunch of fresh rosemary', 'TOMATO SAUCE', '2-3 cloves of garlic', '1 big bunch of fresh flat-leaf parsley', '', '2 x 400 g tins of quality plum tomatoes', 'herb or red wine vinegar', '1 dried red chilli', '3 anchovy fillets in oil , from sustainable sources', 'extra virgin olive oil']",French
https://www.jamieoliver.com/recipes/chicken-recipes/roast-chicken-with-lemon-and-rosemary-roast-potatoes/,Roast chicken with lemon and rosemary roast potatoes,"['2 kg higher-welfare chicken', 'sea salt', 'freshly ground black pepper', '1.5 kg potatoes , peeled', '1 large lemon , preferably unwaxed', '1 whole bulb garlic , broken into cloves', '1 handful fresh thyme', 'olive oil', '1 handful fresh rosemary sprigs , leaves picked', '8 rashers higher-welfare smoked streaky bacon , optional']",French
https://www.jamieoliver.com/recipes/vegetables-recipes/roast-carrot-and-avocado-salad-with-orange-and-lemon-dressing/,Roast carrot & avocado salad with orange & lemon dressing,"['500 g medium differently coloured carrots , with their leafy tops', '2 level teaspoons whole cumin seeds', '1-2 small dried chillies', '2 cloves garlic , peeled', '4 sprigs fresh thyme , leaves picked', 'extra virgin olive oil', 'red or white wine vinegar', '1 orange , halved', '1 lemon , halved', '3 ripe avocados', 'red wine vinegar', '4 x 1 cm thick slices ciabatta or other good-quality bread', '2 handfuls mixed winter salad leaves (like Treviso, rocket, radicchio or cavolo nero tops) , washed and spun dry', '2 punnets cress', '150 ml fat-free natural yoghurt', '4 tablespoons mixed seeds , toasted']",Unknown
https://www.jamieoliver.com/recipes/beef-recipes/reuben-ish-sandwich/,Reuben-ish sandwich,"['2 big slices rye bread , 1cm in size', 'low fat mayonnaise', '3 heaped tablespoons sauerkraut', '1 fresh red chilli , deseeded and finely sliced', '3 slices pastrami', 'a few gherkins', '60 g Swiss cheese', '1 handful watercress leaves , to serve']",American
https://www.jamieoliver.com/recipes/bread-recipes/red-grape-pizza-with-honey-rosemary-and-pecorino/,"Red grape pizza with honey, rosemary and pecorino","['1½ x 7 g dried yeast sachets', '5 teaspoons runny honey', '310 ml tepid water', '500 g white bread flour , plus extra for dusting', '1 generous pinch salt', 'a few sprigs fresh rosemary', '2 lugs olive oil', '2 handfuls red grapes', '50 g pecorino cheese']",Italian
https://www.jamieoliver.com/recipes/fish-recipes/rainbow-trout-with-horseradish-yoghurt-balsamic-beets/,Rainbow trout with horseradish yoghurt & balsamic beets,"['400 g new potatoes , large ones halved', 'sea salt', 'freshly ground black pepper', '4 x 100 g rainbow trout fillets , from sustainable sources, ask your fishmonger, skin on and pin-boned', 'olive oil', 'a few sprigs fresh thyme', '2 heaped tablespoons fat-free natural yoghurt', '1 lemon', '1 heaped teaspoon creamed horseradish , or to taste', '4 jarred beetroots , quartered', 'balsamic vinegar', '2 handfuls watercress , washed and spun dry', 'extra virgin olive oil']",French
https://www.jamieoliver.com/recipes/pasta-recipes/quick-tomato-macaroni-cheese/,Quick tomato macaroni cheese,"['340 g macaroni', '200 g bread , preferably stale, for making breadcrumbs', '800 g super-ripe tomatoes', '1 clove garlic , peeled', '2 large handfuls fresh basil', '55 g sun-dried tomatoes , chopped', '2 anchovies', 'sea salt', 'freshly ground black pepper', '3 handfuls Parmesan cheese , freshly grated', '565 ml single cream', '1 tablespoon red wine vinegar', '½ nutmeg , grated', ""400 g cow's milk mozzarella , broken up"", '1 handful fresh thyme , leaves picked', 'extra virgin olive oil']",American
https://www.jamieoliver.com/recipes/pasta-recipes/quick-sausage-meatballs-with-a-tomato-and-basil-sauce-spaghetti-and-sweet-raw-peas/,"Quick sausage meatballs with a tomato & basil sauce, spaghetti & sweet raw peas","['olive oil', '8 good-quality pork sausages', '500 g spaghetti', '300 g fresh peas , in their pods', '1 block Parmesan cheese , to serve', 'a few sprigs fresh marjoram, thyme or rosemary , leaves picked', 'For the tomato sauce', 'olive oil', '2 cloves garlic , peeled and finely sliced', '½ a bunch of fresh basil , (30g), leaves picked, stalks finely chopped', '2 x 400 g good-quality tinned plum tomatoes', 'good-quality balsamic vinegar']",Italian
