recipe_urls,recipe_name,ingredients,cuisine
https://www.jamieoliver.com/recipes/duck-recipes/roast-duck-with-marsala-gravy/,Roast duck with Marsala gravy,"['1 x 1.6kg whole duck', '2 heaped teaspoons Chinese five-spice powder', '1 clementine', '6 fresh bay leaves', 'GRAVY', '', '1 bulb of garlic', '2 carrots', '2 red onions', '3 tablespoons plain flour', '100 ml Marsala', '1 litre organic chicken stock']",French
https://www.jamieoliver.com/recipes/vegetable-recipes/best-ever-brussels-sprouts/,Best-ever Brussels sprouts,"['800 g Brussels sprouts', '2 higher-welfare Cumberland sausages', '½ a bunch of fresh sage , (15g)', '20 g unsalted butter', '1 onion', '1 sweet eating apple', '1 tablespoon Worcestershire sauce']",Unknown
https://www.jamieoliver.com/recipes/pasta-recipes/beautiful-courgette-penne-carbonara/,Beautiful courgette carbonara,"['6 medium green and yellow courgettes', '500 g penne', '4 large free-range eggs', '100 ml single cream', '1 small handful of Parmesan cheese', 'olive oil', '6 slices of higher-welfare back bacon', '½ a bunch of fresh thyme , (15g)', 'a few courgette flowers , (optional)']",Italian
https://www.jamieoliver.com/recipes/vegetable-recipes/roasted-black-bean-burgers/,Roasted black bean burgers,"['1½ red onions', '200 g mixed mushrooms', '100 g rye bread', 'ground coriander', '1 x 400 g tin of black beans', 'olive oil', '40 g mature Cheddar cheese', '4 soft rolls', '100 g ripe cherry tomatoes', '1 lime', 'chipotle Tabasco sauce', '1 ripe mango', '1 ripe avocado', '4 tablespoons natural yoghurt', '4 sprigs of fresh coriander']",American
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-tofu-noodle-soup/,Chicken & tofu noodle soup,"['2 shallots', '2 cloves of garlic', '2 cm piece of ginger', '4 free-range chicken thighs , skin off, bone in', 'groundnut oil', 'sesame oil', '1 star anise', '2 tablespoons low-salt soy sauce', '100 g fine rice noodles', '½ a bunch of fresh coriander , (15g)', '½ a bunch of fresh mint , (15g)', '100 g tofu', '4 spring onions', '½ a fresh red chilli', '100 g baby spinach', '4 seaweed nori sheets', '1 lime']",Thai
https://www.jamieoliver.com/recipes/chicken-recipes/chicken-katsu-curry/,Chicken katsu curry,"['4 x 150g free-range skinless boneless chicken breasts', '250 ml buttermilk', '2 heaped teaspoons medium curry powder', '2 cloves of garlic', '120 g panko breadcrumbs', '1 mug of basmati rice , (300g)', '25 g creamed coconut', '2 litres vegetable oil', 'SAUCE', '1 onion', '2 cloves of garlic', '1 thumb-sized piece of ginger', '1 medium carrot', '1 bunch of fresh coriander , (30g)', 'olive oil', '1 teaspoon each garam masala , medium curry powder, turmeric', '2 heaped tablespoons plain flour', '1 heaped teaspoon mango chutney', 'PICKLE', '1 red onion', '1 lemon', '1 fresh red chilli']",Japanese
https://www.jamieoliver.com/recipes/salmon-recipes/roasted-salmon-artichokes/,Roasted salmon & artichokes,"['olive oil', '2 x 1 kg sides of salmon , skin on, scaled, pin-boned, from sustainable sources', '100 g blanched almonds', '2 cloves of garlic', '2 lemons', '100 g stale ciabatta', '2 fresh baby Italian artichokes', '1 x 280 g jar of artichoke hearts in oil', '1 bunch of fresh mint , (30g)', '12 rashers of higher-welfare smoked streaky bacon', '1 bunch of fresh thyme , (30g)']",French
https://www.jamieoliver.com/recipes/pasta-recipes/cracker-ravioli/,Cracker ravioli,"['1 butternut squash , (1.2kg)', '250 g ricotta cheese', '½ teaspoon dried red chilli flakes', '1 whole nutmeg , for grating', 'olive oil', '200 g vac-packed chestnuts', '½ a bunch of fresh sage , (15g)', '20 g Parmesan cheese , plus extra to serve', 'PASTA', '1 x Royal pasta dough', '75 g baby spinach', 'semolina , for dusting', 'BUTTER SAUCE', '100 g unsalted butter', '4 clementines', 'TO SERVE', '50 g skin-on almonds']",Italian
https://www.jamieoliver.com/recipes/vegetable-recipes/black-bean-burgers/,Black bean burgers,"['½ a red onion', '1 tablespoon balsamic vinegar', '1 fresh red chilli', '2 spring onions', '1 x 400 g tin black beans', '100 g fresh breadcrumbs', '1 lemon', 'extra virgin olive oil', '2 tablespoons natural yoghurt', '80 g baby kale', '30 g rocket', 'olive oil', '1 ripe beef tomato', '75 g mozzarella cheese', '2 wholemeal buns']",American
https://www.jamieoliver.com/recipes/eggs-recipes/spanish-tortilla/,Spanish tortilla,"['300 g waxy potatoes', '1 onion', 'olive oil', '5 large free-range eggs']",Spanish
